protocol_type_encoded,service_encoded,logged_in,count,srv_count,dst_host_count,dst_host_same_src_port_rate,temp0,class
1,6,1,10,29,24,0.04,0,0
1,6,1,4,4,34,0.03,0,0
1,6,1,14,14,44,0.02,0,0
1,6,1,10,10,54,0.02,0,0
1,6,1,6,6,64,0.02,0,0
1,6,1,2,2,74,0.01,0,0
1,6,1,10,14,84,0.01,0,0
1,6,1,3,8,3,0.33,0,0
1,6,1,3,3,13,0.08,0,0
1,6,1,6,6,23,0.04,0,0
1,6,1,2,2,33,0.03,0,0
1,6,1,2,2,43,0.02,0,0
1,6,1,3,17,53,0.02,0,0
1,6,1,6,6,63,0.02,0,0
1,6,1,4,4,73,0.01,0,0
1,6,1,7,7,83,0.01,0,0
1,6,1,1,1,93,0.01,0,0
1,6,1,1,1,103,0.01,0,0
1,6,1,4,4,113,0.01,0,0
1,6,1,4,4,123,0.01,0,0
1,6,1,1,1,133,0.01,0,0
1,6,1,4,4,143,0.01,0,0
1,6,1,7,7,7,0.14,0,0
1,6,1,3,3,17,0.06,0,0
1,6,1,2,2,27,0.04,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,1,1,13,0.08,0,0
1,6,1,8,8,23,0.04,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,13,13,13,0.08,0,0
1,6,1,23,23,23,0.04,0,0
1,6,1,1,1,1,1.0,0,0
1,6,1,8,8,8,0.12,0,0
1,6,1,3,6,18,0.06,0,0
1,6,1,5,5,5,0.2,0,0
1,6,1,4,4,15,0.07,0,0
1,6,1,5,5,25,0.04,0,0
1,6,1,7,7,35,0.03,0,0
1,6,1,7,7,45,0.02,0,0
1,6,1,1,1,1,1.0,0,0
1,6,1,4,4,4,0.25,0,0
1,6,1,2,2,14,0.07,0,0
1,6,1,12,12,24,0.04,0,0
1,6,1,1,1,34,0.03,0,0
1,6,1,7,7,44,0.02,0,0
1,6,1,2,2,54,0.02,0,0
1,6,1,12,12,64,0.02,0,0
1,6,1,5,5,74,0.01,0,0
1,6,1,2,2,84,0.01,0,0
1,6,1,8,8,94,0.01,0,0
1,6,1,3,3,104,0.01,0,0
1,6,1,13,13,114,0.01,0,0
1,6,1,2,5,124,0.01,0,0
1,6,1,12,15,134,0.01,0,0
1,6,1,1,1,144,0.01,0,0
1,6,1,11,11,154,0.01,0,0
1,6,1,4,6,164,0.01,0,0
1,6,1,1,1,174,0.01,0,0
1,6,1,3,3,184,0.01,0,0
1,6,1,13,13,194,0.01,0,0
1,6,1,10,10,204,0.0,0,0
1,6,1,7,7,214,0.0,0,0
1,6,1,2,2,224,0.0,0,0
1,6,1,12,12,234,0.0,0,0
1,6,1,9,9,244,0.0,0,0
1,6,1,1,1,254,0.0,0,0
1,6,1,7,7,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,14,14,255,0.0,0,0
1,6,1,9,9,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,5,18,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,8,27,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,15,15,255,0.0,0,0
1,6,1,10,12,255,0.0,0,0
1,6,1,7,7,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,3,8,255,0.0,0,0
1,6,1,13,18,255,0.0,0,0
1,6,1,6,24,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,9,9,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,9,1,1,1,8,0.12,0,0
1,9,1,1,1,18,0.06,0,0
1,9,1,1,1,28,0.04,0,0
1,4,0,1,1,38,0.03,0,0
1,9,1,1,2,48,0.02,0,0
1,9,1,2,2,58,0.02,0,0
1,9,1,2,1,68,0.01,0,0
2,1,0,1,2,78,0.18,0,0
2,1,0,1,1,88,0.17,0,0
1,9,1,1,1,98,0.01,0,0
1,9,1,1,3,108,0.01,0,0
2,1,0,1,4,118,0.18,0,0
1,9,1,1,1,5,0.2,0,0
2,1,0,1,2,15,0.27,0,0
1,9,1,1,1,25,0.04,0,0
1,0,1,3,1,35,0.03,0,0
1,9,1,1,1,45,0.02,0,0
1,9,1,1,1,55,0.02,0,0
2,1,0,1,2,65,0.2,0,0
1,9,1,1,1,75,0.01,0,0
2,1,0,1,4,85,0.22,0,0
1,0,1,2,1,95,0.01,0,0
1,6,1,6,6,6,0.17,0,0
1,6,1,5,9,16,0.06,0,0
1,6,1,1,13,26,0.04,0,0
1,6,1,11,23,36,0.03,0,0
1,6,1,2,2,46,0.02,0,0
1,6,1,5,5,56,0.02,0,0
1,6,1,8,8,66,0.02,0,0
1,6,1,7,7,76,0.01,0,0
1,6,1,2,2,86,0.01,0,0
1,6,1,11,11,96,0.01,0,0
1,6,1,10,14,106,0.01,0,0
1,6,1,8,10,116,0.01,0,0
1,6,1,7,42,126,0.01,0,0
1,6,1,6,6,136,0.01,0,0
1,6,1,5,14,146,0.01,0,0
1,6,1,2,2,156,0.01,0,0
1,6,1,2,3,166,0.01,0,0
1,6,1,9,9,176,0.01,0,0
1,6,1,6,6,186,0.01,0,0
1,6,1,5,5,196,0.01,0,0
1,6,1,1,1,206,0.0,0,0
1,6,1,10,10,216,0.0,0,0
1,6,1,6,6,226,0.0,0,0
1,6,1,5,22,236,0.0,0,0
1,6,1,4,4,246,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,9,9,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,2,2,13,0.08,0,0
1,6,1,1,1,10,0.1,0,0
1,6,1,2,2,2,0.5,0,0
1,6,1,12,12,12,0.08,0,0
1,6,1,7,7,22,0.05,0,0
1,6,1,2,2,2,0.5,0,0
1,6,1,12,12,12,0.08,0,0
1,6,1,6,6,22,0.05,0,0
1,6,1,3,3,32,0.03,0,0
1,6,1,1,1,42,0.02,0,0
1,6,1,11,11,52,0.04,0,0
1,6,1,7,7,62,0.02,0,0
1,6,1,8,8,72,0.01,0,0
1,6,1,13,13,82,0.01,0,0
1,6,1,9,11,92,0.01,0,0
1,6,1,5,7,102,0.01,0,0
1,6,1,1,1,112,0.01,0,0
1,6,1,11,11,122,0.01,0,0
1,6,1,7,7,132,0.01,0,0
1,6,1,3,3,142,0.01,0,0
1,6,1,13,13,152,0.01,0,0
1,6,1,9,9,162,0.01,0,0
1,6,1,5,5,172,0.01,0,0
1,6,1,1,1,182,0.01,0,0
1,6,1,11,11,192,0.01,0,0
1,6,1,7,7,202,0.0,0,0
1,6,1,5,5,212,0.0,0,0
1,6,1,1,1,222,0.0,0,0
1,6,1,11,11,232,0.0,0,0
1,6,1,10,10,242,0.0,0,0
1,6,1,6,6,252,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,14,14,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,6,6,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,12,12,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,6,6,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,12,12,255,0.0,0,0
1,6,1,2,2,7,0.14,0,0
1,6,1,9,9,9,0.11,0,0
1,6,1,19,19,19,0.05,0,0
1,6,1,3,3,29,0.03,0,0
1,6,1,5,5,39,0.03,0,0
1,6,1,15,15,49,0.02,0,0
1,6,1,4,4,59,0.02,0,0
1,6,1,1,6,1,1.0,0,0
1,6,1,11,16,11,0.09,0,0
1,6,1,10,10,21,0.05,0,0
1,6,1,3,3,31,0.03,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,13,13,13,0.08,0,0
1,6,1,4,4,4,0.25,0,0
1,6,1,1,1,1,1.0,0,0
1,6,1,8,8,11,0.09,0,0
1,6,1,8,8,21,0.05,0,0
1,6,1,18,18,31,0.03,0,0
1,6,1,6,6,41,0.02,0,0
1,6,1,16,16,51,0.02,0,0
1,6,1,1,17,5,0.2,0,0
1,6,1,10,15,10,0.1,0,0
1,6,1,20,25,20,0.05,0,0
1,6,1,10,11,30,0.03,0,0
1,6,1,1,1,40,0.03,0,0
1,6,1,8,8,50,0.02,0,0
1,6,1,18,18,60,0.02,0,0
1,6,1,8,8,70,0.01,0,0
1,6,1,18,18,80,0.01,0,0
1,6,1,7,7,90,0.01,0,0
1,6,1,17,18,100,0.01,0,0
1,6,1,6,6,6,0.17,0,0
1,6,1,16,16,16,0.06,0,0
1,6,1,8,8,8,0.12,0,0
1,6,1,19,19,18,0.06,0,0
1,6,1,5,11,28,0.04,0,0
1,6,1,15,25,38,0.03,0,0
1,6,1,1,5,6,0.17,0,0
1,6,1,7,7,7,0.14,0,0
1,6,1,2,30,2,0.5,0,0
1,6,1,1,1,12,0.08,0,0
1,6,1,4,5,22,0.05,0,0
1,6,1,1,1,32,0.03,0,0
1,6,1,11,11,42,0.02,0,0
1,6,1,8,8,52,0.02,0,0
1,6,1,7,7,62,0.02,0,0
1,6,1,6,6,72,0.01,0,0
1,6,1,9,9,82,0.01,0,0
1,6,1,6,25,92,0.01,0,0
1,6,1,3,3,102,0.01,0,0
1,6,1,6,6,112,0.01,0,0
1,6,1,16,16,122,0.01,0,0
1,6,1,26,26,132,0.01,0,0
1,6,1,36,36,142,0.01,0,0
1,6,1,10,14,152,0.01,0,0
1,6,1,2,2,162,0.01,0,0
1,6,1,12,12,172,0.01,0,0
1,6,1,9,9,182,0.01,0,0
1,6,1,6,6,6,0.17,0,0
1,6,1,16,16,16,0.06,0,0
1,6,1,26,26,26,0.04,0,0
1,6,1,6,16,36,0.03,0,0
1,6,1,16,26,46,0.02,0,0
1,6,1,26,36,56,0.02,0,0
1,6,1,1,1,1,1.0,0,0
1,6,1,11,11,11,0.09,0,0
1,6,1,4,4,21,0.05,0,0
1,6,1,14,14,31,0.03,0,0
1,6,1,7,7,41,0.02,0,0
1,6,1,17,17,51,0.02,0,0
1,6,1,3,3,3,0.33,0,0
1,6,1,13,13,13,0.08,0,0
1,6,1,5,5,23,0.04,0,0
1,6,1,1,1,3,0.33,0,0
1,6,1,3,3,13,0.08,0,0
1,6,1,2,2,9,0.11,0,0
1,6,1,1,1,19,0.05,0,0
1,6,1,7,7,7,0.14,0,0
1,6,1,17,17,17,0.06,0,0
1,6,1,9,9,27,0.04,0,0
1,6,1,7,8,7,0.14,0,0
1,6,1,17,18,17,0.06,0,0
1,6,1,27,28,27,0.04,0,0
1,6,1,1,1,37,0.03,0,0
1,6,1,11,11,47,0.02,0,0
1,6,1,21,23,57,0.02,0,0
1,6,1,31,33,67,0.01,0,0
1,6,1,1,2,1,1.0,0,0
1,6,1,2,9,11,0.09,0,0
1,6,1,2,33,21,0.05,0,0
1,6,1,3,10,31,0.03,0,0
1,6,1,3,4,41,0.02,0,0
1,6,1,1,2,51,0.02,0,0
1,6,1,2,6,61,0.02,0,0
1,6,1,2,2,71,0.01,0,0
1,6,1,3,10,81,0.01,0,0
1,6,1,1,1,91,0.01,0,0
1,6,1,3,11,101,0.01,0,0
1,6,1,1,6,111,0.01,0,0
1,6,1,2,9,121,0.01,0,0
1,6,1,4,11,131,0.01,0,0
1,6,1,4,11,141,0.01,0,0
1,6,1,2,8,151,0.01,0,0
1,6,1,3,7,161,0.01,0,0
1,6,1,4,10,171,0.01,0,0
1,6,1,3,12,181,0.01,0,0
1,6,1,7,7,7,0.14,0,0
1,6,1,17,17,17,0.06,0,0
1,6,1,5,8,6,0.17,0,0
1,6,1,3,3,16,0.06,0,0
1,6,1,2,2,26,0.04,0,0
1,6,1,2,2,36,0.03,0,0
1,6,1,12,13,46,0.02,0,0
1,6,1,9,12,56,0.02,0,0
1,6,1,8,8,66,0.02,0,0
1,6,1,7,39,76,0.01,0,0
1,6,1,6,6,86,0.01,0,0
1,6,1,3,24,96,0.01,0,0
1,6,1,4,4,106,0.01,0,0
1,6,1,4,4,116,0.01,0,0
1,6,1,5,6,126,0.01,0,0
1,6,1,4,5,136,0.01,0,0
1,6,1,4,7,146,0.01,0,0
1,6,1,1,2,156,0.01,0,0
1,6,1,11,15,166,0.01,0,0
1,6,1,10,23,176,0.01,0,0
1,6,1,9,34,186,0.01,0,0
1,6,1,8,9,196,0.01,0,0
1,6,1,6,11,206,0.0,0,0
1,6,1,6,9,216,0.0,0,0
1,6,1,5,6,226,0.0,0,0
1,6,1,3,3,236,0.0,0,0
1,6,1,2,5,246,0.0,0,0
1,6,1,12,12,255,0.0,0,0
1,6,1,10,14,255,0.0,0,0
1,6,1,8,11,255,0.0,0,0
1,6,1,6,13,255,0.0,0,0
1,6,1,5,17,255,0.01,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,2,7,255,0.0,0,0
1,6,1,2,4,255,0.0,0,0
1,6,1,12,14,255,0.0,0,0
1,6,1,9,13,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,3,6,255,0.0,0,0
1,6,1,6,7,255,0.0,0,0
1,6,1,9,13,255,0.0,0,0
1,6,1,9,10,255,0.0,0,0
1,6,1,19,20,255,0.0,0,0
1,6,1,3,5,255,0.0,0,0
1,6,1,2,3,255,0.0,0,0
1,6,1,3,6,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,10,11,255,0.0,0,0
1,6,1,11,12,255,0.0,0,0
1,6,1,9,11,255,0.0,0,0
1,6,1,10,14,255,0.0,0,0
1,6,1,8,12,255,0.0,0,0
1,6,1,7,8,255,0.0,0,0
1,6,1,4,7,255,0.0,0,0
1,6,1,4,7,255,0.0,0,0
1,6,1,2,3,255,0.01,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,3,5,255,0.0,0,0
1,6,1,10,14,255,0.0,0,0
1,6,1,9,13,255,0.0,0,0
1,6,1,9,10,255,0.0,0,0
1,6,1,5,7,255,0.0,0,0
1,6,1,4,5,255,0.0,0,0
1,6,1,2,6,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,2,3,255,0.0,0,0
1,6,1,11,15,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,5,8,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,6,9,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,3,8,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,10,13,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,6,8,255,0.0,0,0
1,6,1,3,5,255,0.0,0,0
1,6,1,5,5,255,0.01,0,0
1,6,1,3,6,255,0.0,0,0
1,6,1,6,7,255,0.0,0,0
1,6,1,10,14,255,0.0,0,0
1,6,1,9,10,255,0.0,0,0
1,6,1,1,1,4,0.25,0,0
1,6,1,1,11,14,0.07,0,0
1,6,1,2,2,2,0.5,0,0
1,6,1,12,12,12,0.08,0,0
1,6,1,22,22,22,0.05,0,0
1,6,1,6,6,32,0.03,0,0
1,6,1,1,1,2,0.5,0,0
1,6,1,3,3,6,0.17,0,0
1,6,1,2,2,10,0.1,0,0
1,6,1,4,6,4,0.25,0,0
1,6,1,14,16,14,0.07,0,0
1,6,1,10,10,10,0.1,0,0
1,6,1,20,21,20,0.05,0,0
1,6,1,1,1,30,0.03,0,0
1,6,1,11,11,40,0.03,0,0
1,6,1,21,21,50,0.02,0,0
1,6,1,1,1,60,0.02,0,0
1,6,1,3,3,70,0.01,0,0
1,6,1,13,13,80,0.01,0,0
1,6,1,4,17,90,0.01,0,0
1,6,1,4,4,100,0.01,0,0
1,6,1,14,14,110,0.01,0,0
1,6,1,2,2,120,0.01,0,0
1,6,1,1,1,130,0.01,0,0
1,6,1,6,8,140,0.01,0,0
1,6,1,16,21,150,0.01,0,0
1,6,1,3,3,160,0.01,0,0
1,6,1,7,7,170,0.01,0,0
1,6,1,17,17,180,0.01,0,0
1,6,1,8,8,8,0.12,0,0
1,6,1,6,6,18,0.06,0,0
1,6,1,7,25,28,0.04,0,0
1,6,1,5,7,38,0.03,0,0
1,6,1,6,6,48,0.02,0,0
1,6,1,4,4,58,0.02,0,0
1,6,1,1,1,5,0.2,0,0
1,6,1,1,1,15,0.07,0,0
1,6,1,1,1,25,0.04,0,0
1,6,1,11,11,35,0.03,0,0
1,6,1,4,7,9,0.11,0,0
1,6,1,2,2,2,0.5,0,0
1,6,1,12,12,12,0.08,0,0
1,6,1,22,22,22,0.05,0,0
1,6,1,4,4,32,0.03,0,0
1,6,1,4,4,42,0.02,0,0
1,6,1,4,4,52,0.02,0,0
1,6,1,14,14,62,0.02,0,0
1,6,1,24,24,72,0.01,0,0
1,6,1,10,11,82,0.01,0,0
1,6,1,19,20,92,0.01,0,0
1,6,1,28,29,102,0.01,0,0
1,6,1,37,38,112,0.01,0,0
1,6,1,4,4,122,0.01,0,0
1,6,1,13,13,132,0.01,0,0
1,6,1,22,22,142,0.01,0,0
1,6,1,31,31,152,0.01,0,0
1,6,1,34,34,162,0.01,0,0
1,6,1,2,2,172,0.01,0,0
1,6,1,12,12,182,0.01,0,0
1,6,1,22,22,192,0.01,0,0
1,6,1,32,32,202,0.0,0,0
1,6,1,2,2,212,0.0,0,0
1,6,1,4,4,222,0.0,0,0
1,6,1,14,14,232,0.0,0,0
1,6,1,24,24,242,0.0,0,0
1,6,1,34,34,252,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,12,12,255,0.0,0,0
1,6,1,7,7,255,0.0,0,0
1,6,1,17,17,255,0.0,0,0
1,6,1,9,9,255,0.0,0,0
1,6,1,19,19,255,0.0,0,0
1,6,1,29,29,255,0.0,0,0
1,6,1,39,39,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,15,15,255,0.0,0,0
1,6,1,25,25,255,0.0,0,0
1,6,1,35,35,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,13,13,255,0.0,0,0
1,6,1,23,23,255,0.0,0,0
1,6,1,34,34,255,0.0,0,0
1,6,0,3,3,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,1,5,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,19,19,255,0.0,0,0
1,6,1,28,28,255,0.0,0,0
1,6,1,37,37,255,0.0,0,0
1,6,1,17,17,255,0.0,0,0
1,6,1,27,27,255,0.0,0,0
1,6,1,37,37,255,0.0,0,0
1,6,1,6,6,255,0.0,0,0
1,6,1,16,16,255,0.0,0,0
1,6,1,26,26,255,0.0,0,0
1,6,1,36,36,255,0.0,0,0
1,6,1,5,6,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,12,30,255,0.0,0,0
1,6,1,21,39,255,0.0,0,0
1,6,1,30,48,255,0.0,0,0
1,6,1,39,57,255,0.0,0,0
1,6,1,15,15,255,0.0,0,0
1,6,1,25,25,255,0.0,0,0
1,6,1,35,35,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,7,7,255,0.0,0,0
1,6,1,16,20,255,0.0,0,0
1,6,1,25,30,255,0.0,0,0
1,6,1,2,2,255,0.0,0,0
1,6,1,12,12,255,0.01,0,0
1,6,1,22,22,255,0.0,0,0
1,6,1,32,32,255,0.01,0,0
1,6,1,14,14,255,0.0,0,0
1,6,1,9,13,255,0.0,0,0
1,6,1,7,8,255,0.0,0,0
1,6,1,17,18,255,0.0,0,0
1,6,1,27,28,255,0.0,0,0
1,6,1,37,37,255,0.0,0,0
1,6,1,6,6,255,0.0,0,0
1,6,1,15,15,255,0.0,0,0
1,6,1,1,4,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,18,18,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,14,14,255,0.0,0,0
1,6,1,24,24,255,0.0,0,0
1,6,1,34,34,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,5,6,255,0.0,0,0
1,6,1,13,17,255,0.0,0,0
1,6,1,22,28,255,0.01,0,0
1,6,1,3,20,255,0.0,0,0
1,6,1,13,30,255,0.0,0,0
1,6,1,23,40,255,0.0,0,0
1,6,1,33,50,255,0.0,0,0
1,6,1,2,3,255,0.0,0,0
1,6,1,12,16,255,0.0,0,0
1,6,1,22,28,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,15,255,0.0,0,0
1,6,1,21,26,255,0.0,0,0
1,6,1,36,36,255,0.0,0,0
1,6,1,5,5,255,0.0,0,0
1,6,1,9,14,255,0.0,0,0
1,6,1,6,6,255,0.0,0,0
1,6,1,16,16,255,0.0,0,0
1,6,1,26,26,255,0.0,0,0
1,6,1,36,36,255,0.0,0,0
1,6,1,19,25,255,0.0,0,0
1,6,1,7,8,255,0.0,0,0
1,6,1,17,17,255,0.0,0,0
1,6,1,27,27,255,0.0,0,0
1,6,1,37,37,255,0.0,0,0
1,6,1,7,7,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,8,8,255,0.0,0,0
1,6,1,18,19,255,0.01,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,14,14,255,0.0,0,0
1,6,1,24,24,255,0.0,0,0
1,6,1,34,34,255,0.0,0,0
1,6,1,3,3,255,0.0,0,0
1,6,1,1,3,255,0.0,0,0
1,6,1,11,13,255,0.0,0,0
1,6,1,21,23,255,0.0,0,0
1,6,1,31,32,255,0.0,0,0
1,6,1,41,42,255,0.0,0,0
1,6,1,10,10,255,0.0,0,0
1,6,1,20,20,255,0.0,0,0
1,6,1,19,19,255,0.0,0,0
1,6,1,29,29,255,0.0,0,0
1,6,1,7,8,255,0.0,0,0
1,6,1,17,18,255,0.0,0,0
1,6,1,27,28,255,0.0,0,0
1,6,1,9,9,255,0.0,0,0
1,6,1,3,4,255,0.0,0,0
1,6,1,9,9,255,0.0,0,0
1,6,1,19,22,255,0.0,0,0
1,6,1,29,32,255,0.0,0,0
1,6,1,39,42,255,0.0,0,0
1,6,1,4,4,255,0.0,0,0
1,6,1,14,14,255,0.0,0,0
1,6,1,24,24,255,0.0,0,0
1,6,1,34,34,255,0.0,0,0
1,6,1,1,13,255,0.0,0,0
1,6,1,11,23,255,0.0,0,0
1,6,1,21,21,255,0.0,0,0
1,6,1,31,31,255,0.0,0,0
1,6,1,1,1,255,0.0,0,0
1,6,1,11,11,255,0.0,0,0
1,6,1,21,21,255,0.0,0,0
1,6,1,31,31,255,0.0,0,0
